"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"16:49:39.757, 31.03.2016","10,8","0,2","459.800.576","106.999.544","123.207.680","113.549.536","20.680","0","166","25"
"16:49:40.757, 31.03.2016","9,3","0,0","459.800.576","111.030.888","123.207.680","113.549.536","20.681","0","166","25"
"16:49:41.759, 31.03.2016","11,6","0,0","459.800.576","116.780.736","123.207.680","113.549.536","20.696","0","166","25"
"16:49:42.761, 31.03.2016","5,1","0,0","459.800.576","120.932.168","123.207.680","113.549.536","20.696","0","166","25"
"16:49:43.777, 31.03.2016","12,5","0,0","459.800.576","126.880.392","123.207.680","113.549.536","20.702","0","166","25"
"16:49:44.777, 31.03.2016","9,7","0,0","459.800.576","133.304.744","123.207.680","113.549.536","20.785","0","166","25"
"16:49:45.792, 31.03.2016","6,6","0,0","459.800.576","137.717.680","123.207.680","113.549.536","20.785","0","166","25"
"16:49:46.808, 31.03.2016","8,6","0,0","459.800.576","141.895.128","123.207.680","113.549.536","20.786","0","166","25"
"16:49:47.823, 31.03.2016","12,8","0,0","459.800.576","146.997.680","123.207.680","113.549.536","20.787","0","166","25"
"16:49:48.839, 31.03.2016","6,2","0,0","459.800.576","153.076.736","123.207.680","113.549.536","20.787","0","166","25"
"16:49:49.839, 31.03.2016","8,2","0,0","459.800.576","157.769.176","123.207.680","113.549.536","20.788","0","166","25"
"16:49:50.855, 31.03.2016","6,9","0,0","459.800.576","162.980.456","123.207.680","113.549.536","20.788","0","166","25"
"16:49:51.870, 31.03.2016","9,7","0,4","459.800.576","108.230.744","124.387.328","114.658.040","20.795","0","166","25"
"16:49:52.870, 31.03.2016","7,4","0,0","459.800.576","114.603.968","124.387.328","114.658.040","20.795","0","166","25"
"16:49:53.874, 31.03.2016","11,8","0,0","459.800.576","120.693.768","124.387.328","114.658.040","20.795","0","166","25"
"16:49:54.878, 31.03.2016","9,4","0,0","459.800.576","126.518.104","124.387.328","114.658.040","20.832","0","169","27"
"16:49:55.894, 31.03.2016","8,4","0,0","459.800.576","132.966.616","124.387.328","114.658.040","20.832","0","169","27"
"16:49:56.894, 31.03.2016","3,9","0,0","459.800.576","135.959.448","124.387.328","114.658.040","20.833","0","169","27"
"16:49:57.910, 31.03.2016","12,8","0,0","459.800.576","145.135.688","124.387.328","114.658.040","20.890","0","169","27"
"16:49:58.925, 31.03.2016","14,0","0,0","459.800.576","151.878.856","124.387.328","114.658.040","20.890","0","169","27"
"16:49:59.941, 31.03.2016","5,0","0,0","459.800.576","154.886.168","124.387.328","114.658.040","20.891","0","169","27"
"16:50:00.956, 31.03.2016","13,2","0,0","459.800.576","162.968.408","124.387.328","114.658.040","20.891","0","169","27"
"16:50:01.972, 31.03.2016","10,5","0,4","456.654.848","108.983.568","125.435.904","115.891.336","20.891","0","168","26"
"16:50:02.988, 31.03.2016","5,0","0,0","456.654.848","113.961.008","125.435.904","115.891.336","20.891","0","168","26"
"16:50:04.003, 31.03.2016","13,6","0,0","456.654.848","121.241.448","125.435.904","115.891.336","20.892","0","168","26"
"16:50:05.003, 31.03.2016","21,4","0,0","456.654.848","128.093.400","125.435.904","115.891.336","20.893","0","168","26"
"16:50:06.019, 31.03.2016","8,0","0,0","456.654.848","133.093.592","125.435.904","115.891.336","20.893","0","168","26"
"16:50:07.035, 31.03.2016","8,5","0,0","456.654.848","139.249.632","125.435.904","115.891.336","20.893","0","168","26"
"16:50:08.050, 31.03.2016","5,8","0,0","456.654.848","145.249.608","125.435.904","115.891.336","20.893","0","168","26"
"16:50:09.066, 31.03.2016","19,9","0,0","456.654.848","152.136.568","125.435.904","115.891.336","20.893","0","168","26"
"16:50:10.082, 31.03.2016","20,5","0,0","456.654.848","161.419.208","125.435.904","115.891.336","20.993","0","168","26"
"16:50:11.082, 31.03.2016","7,8","0,4","456.654.848","106.562.872","126.353.408","116.725.872","20.993","0","168","26"
"16:50:12.097, 31.03.2016","10,9","0,0","456.654.848","113.573.360","126.353.408","116.725.872","20.993","0","168","26"
"16:50:13.113, 31.03.2016","18,7","0,0","456.654.848","120.465.208","126.353.408","116.725.872","20.993","0","168","26"
"16:50:14.128, 31.03.2016","6,6","0,0","456.654.848","127.607.256","126.353.408","116.725.872","20.993","0","168","26"
"16:50:15.144, 31.03.2016","7,3","0,0","456.654.848","134.418.560","126.353.408","116.725.872","20.993","0","168","26"
"16:50:16.160, 31.03.2016","6,6","0,0","456.654.848","140.652.400","126.353.408","116.725.872","20.993","0","168","26"
"16:50:17.175, 31.03.2016","7,0","0,0","456.654.848","145.935.536","126.353.408","116.725.872","20.993","0","168","26"
"16:50:18.191, 31.03.2016","7,0","0,0","456.654.848","152.999.896","126.353.408","116.725.872","20.993","0","168","26"
"16:50:19.207, 31.03.2016","6,6","0,0","456.654.848","160.862.352","126.353.408","116.725.872","20.993","0","168","26"
"16:50:20.222, 31.03.2016","5,0","0,0","456.654.848","166.015.136","126.353.408","116.725.872","20.993","0","168","26"
"16:50:21.222, 31.03.2016","8,5","0,3","452.984.832","111.835.552","126.877.696","117.084.464","20.993","0","168","26"
"16:50:22.238, 31.03.2016","6,2","0,0","452.984.832","116.606.064","126.877.696","117.084.464","20.993","0","168","26"
"16:50:23.254, 31.03.2016","15,6","0,0","452.984.832","122.712.856","126.877.696","117.084.464","20.993","0","168","26"
"16:50:24.269, 31.03.2016","12,1","0,0","452.984.832","131.556.024","126.877.696","117.084.464","20.993","0","168","26"
"16:50:25.285, 31.03.2016","1,1","0,0","452.984.832","136.883.152","126.877.696","117.084.464","20.993","0","168","26"
"16:50:26.301, 31.03.2016","15,2","0,0","452.984.832","143.066.760","126.877.696","117.084.464","20.993","0","169","27"
"16:50:27.316, 31.03.2016","2,7","0,0","452.984.832","149.874.432","126.877.696","117.084.464","20.993","0","169","27"
"16:50:28.332, 31.03.2016","7,7","0,0","452.984.832","155.670.128","126.877.696","117.084.464","20.993","0","169","27"
"16:50:29.347, 31.03.2016","14,0","0,0","452.984.832","163.488.984","126.877.696","117.084.464","20.993","0","169","27"
"16:50:30.363, 31.03.2016","9,3","0,4","448.790.528","108.467.864","127.139.840","117.269.704","20.993","0","169","27"
"16:50:31.379, 31.03.2016","12,5","0,0","448.790.528","114.288.808","127.139.840","117.269.704","20.993","0","169","27"
"16:50:32.394, 31.03.2016","8,8","0,0","448.790.528","121.009.424","127.139.840","117.269.704","20.993","0","169","27"
"16:50:33.410, 31.03.2016","13,6","0,0","448.790.528","127.395.928","127.139.840","117.269.704","20.993","0","169","27"
"16:50:34.426, 31.03.2016","43,3","0,0","448.790.528","134.708.224","127.139.840","117.269.704","20.993","0","169","27"
"16:50:35.426, 31.03.2016","53,9","0,0","448.790.528","140.730.248","127.139.840","117.269.704","20.993","0","169","27"
"16:50:36.441, 31.03.2016","54,3","0,0","448.790.528","147.408.568","127.139.840","117.269.704","20.993","0","169","27"
"16:50:37.457, 31.03.2016","25,7","0,0","448.790.528","153.184.368","127.139.840","117.269.704","20.993","0","169","27"
"16:50:38.459, 31.03.2016","16,3","0,0","448.790.528","159.268.480","127.139.840","117.269.704","20.994","0","169","27"
"16:50:39.463, 31.03.2016","11,2","0,0","448.790.528","167.306.680","127.139.840","117.269.704","20.994","0","169","27"
"16:50:40.468, 31.03.2016","7,4","0,5","446.169.088","106.730.552","127.139.840","117.317.936","20.994","0","169","27"
"16:50:41.484, 31.03.2016","12,5","0,0","446.169.088","112.913.904","127.139.840","117.317.936","20.994","0","169","27"
"16:50:42.500, 31.03.2016","6,2","0,0","446.169.088","117.920.544","127.139.840","117.317.936","20.994","0","169","27"
"16:50:43.500, 31.03.2016","12,4","0,0","446.169.088","121.230.328","127.139.840","117.317.936","20.994","0","169","27"
"16:50:44.505, 31.03.2016","12,6","0,0","446.169.088","128.513.608","127.139.840","117.317.936","20.994","0","169","27"
"16:50:45.520, 31.03.2016","7,4","0,0","446.169.088","133.385.248","127.139.840","117.317.936","20.994","0","169","27"
"16:50:46.536, 31.03.2016","3,5","0,0","446.169.088","136.947.752","127.139.840","117.317.936","20.994","0","169","27"
"16:50:47.552, 31.03.2016","8,5","0,0","446.169.088","141.651.320","127.139.840","117.317.936","20.994","0","169","27"
"16:50:48.567, 31.03.2016","4,7","0,0","446.169.088","146.840.744","127.139.840","117.317.936","20.994","0","169","27"
"16:50:49.583, 31.03.2016","8,5","0,0","446.169.088","152.482.952","127.139.840","117.317.936","20.994","0","169","27"
"16:50:50.599, 31.03.2016","13,6","0,0","446.169.088","157.216.984","127.139.840","117.317.936","20.994","0","169","27"
"16:50:51.614, 31.03.2016","5,4","0,0","446.169.088","161.421.968","127.139.840","117.317.936","20.994","0","169","27"
